id_partie,status,joueur_depart,joueur_gagnant,rows,cols,confiance,signature
61595,terminee,R,Y,9,9,1,476446534537
61594,terminee,R,R,9,9,1,443544565566341263544355833658335443666611111181888898999999989771777
61593,terminee,R,Y,9,9,1,3555556665455621637777776662333332132225141111228982316877889999444444
61592,terminee,R,Y,9,9,1,5666554445326449455877
61591,terminee,R,R,9,9,1,636555555532444666246644242265922442568728888887998999977899171777733
61590,terminee,R,R,9,9,1,55674346545774465564967733541765244935122
61589,terminee,R,Y,9,9,1,54544464554775755747446666
61588,terminee,R,R,9,9,1,64744665556455879
61587,terminee,R,Y,9,9,1,5567665643457665577434533443
61586,terminee,R,Y,9,9,1,6665565655486556655621442122112222111211888888887999999994479477
61585,terminee,R,Y,9,9,1,6343465755344655636545546664144533331111111619999997777777399978888888222288
61584,terminee,R,R,9,9,1,4374656444736689855
61583,terminee,R,R,9,9,1,553666425564445233134223346488844388866555356862222881123111111999999997777
61582,terminee,R,Y,9,9,1,5657446446557667546988
61581,terminee,R,R,9,9,1,554745544687768815664415755732233
61580,terminee,R,Y,9,9,1,63534756465544647445335633
61579,terminee,R,Y,9,9,1,55765466647775447466554699777544655946999999171111111182222222232388
61578,terminee,R,Y,9,9,1,673566464521443661222113325546447223255337755943777967599936247911199888
61577,terminee,R,R,9,9,1,444754564568953258488455646668656681854211881113339919777
61576,terminee,R,R,9,9,1,4346444465536877537
61575,terminee,R,Y,9,9,1,6447556455425331
61574,terminee,R,Y,9,9,1,46366644443852335222553546566543445566222829729888333888877777
61573,terminee,R,R,9,9,1,55555665646673777637753325566112916778983799929888333931244
61572,terminee,R,R,9,9,1,475665655466237898778855632237313336512621132211287277365888875111444
61571,nulle,R,,9,9,1,566565466432455232254456433363222432563562397944999991199888778888877877111117711
61570,terminee,R,R,9,9,1,653565555533661486977
61569,terminee,R,R,9,9,1,54664466454466548787878
61568,terminee,R,R,9,9,1,576665435544363346566735377949445693345459977997171113196881189117888888222
61567,terminee,R,R,9,9,1,46646454465288898868388695525541159862233556261222777
61566,terminee,R,R,9,9,1,76446564665554475477556646567779999915999911144211131188888888877333333332222
61565,terminee,R,R,9,9,1,64455444452662666222245655545681977
61564,terminee,R,Y,9,9,1,4646665565234475547445577777759669965999679494921222221211111181823333
61563,nulle,R,,9,9,1,444344444433333336556957855565568963566698998886778878777799919111111112227222222
61562,terminee,R,Y,9,9,1,3366544565533365366595563229786533617244
61561,terminee,R,R,9,9,1,66544556466558556866888929581514242211619899829119422814333
61560,terminee,R,Y,9,9,1,47646444663575553567435733367746746945565972999999171911123331111222
61559,terminee,R,Y,9,9,1,55335654444655664663344533898866155464199898899331118889119911327777
61558,terminee,R,R,9,9,1,36544665454456362
61557,terminee,R,Y,9,9,1,657546655578646655665569144444447777771112121111799222922922999333
61556,terminee,R,Y,9,9,1,554655654663586779
61555,nulle,R,,9,9,1,454555445434453333315135111433411866668666688588888999699992221122222777777777299
61554,terminee,R,Y,9,9,1,45465655556426687546242245516121177779888874472722164711682118889999
61553,terminee,R,Y,9,9,1,365555565537424766244332947764344353366677922222499577799936921118888889888111
61552,terminee,R,R,9,9,1,7577656555668
61551,terminee,R,R,9,9,1,6365456656453665573454343
61550,terminee,R,Y,9,9,1,5677645546758456626744
61549,terminee,R,Y,9,9,1,775346446554756676356447
61548,terminee,R,R,9,9,1,453655454463125669884864594995849988666333568333899459181122222221132111777
61547,terminee,R,R,9,9,1,45646664644644968785566488779
61546,terminee,R,Y,9,9,1,3565556455664666556653433443311444433399877777778879799999119811111222
61545,nulle,R,,9,9,1,666365465558437556675855333634444433818877718116388711144811777999222222999992922
61544,terminee,R,R,9,9,1,7535646655766774537598988
61543,terminee,R,Y,9,9,1,576543665453366455461433953373755377741446
61542,terminee,R,R,9,9,1,64444556552465266422155666475464292211191511288992977889877
61541,terminee,R,R,9,9,1,65666654544455462524455496622287685422729989899882888999113333777
61540,terminee,R,Y,9,9,1,4567456555664454664457751227661421222111286849228158887777
61539,terminee,R,Y,9,9,1,45545666445532222566462446698252255888886889829333733979973399931441117177
61538,terminee,R,R,9,9,1,565755644767764454564665987477588659447167222222212112111119999999888888333
61537,terminee,R,R,9,9,1,37656666655553777772576723363233262299999944444
61536,terminee,R,R,9,9,1,443446466433251
61535,terminee,R,R,9,9,1,457456454655442777331
61534,terminee,R,R,9,9,1,6764566645537545544214665777751623322
61533,terminee,R,R,9,9,1,3664546664434252274495577557766575242225664298777999993328888
61532,terminee,R,Y,9,9,1,5566565455466466556657777777779999913111449999443333341114833388222222112888
61531,terminee,R,R,9,9,1,534444544635526533395533454433578777777999919199797116666
61530,terminee,R,R,9,9,1,553465444556684844588233556466633
61529,terminee,R,Y,9,9,1,53455555675746646777667665377333334454464343721111122212222211199999999988
61528,terminee,R,Y,9,9,1,6447646655888557787756645546471858
61527,terminee,R,Y,9,9,1,444566666555455656556613334414113443891898988123382222
61526,terminee,R,R,9,9,1,477444645365567753554666533346354453898988877
61525,terminee,R,R,9,9,1,6656646646554556674474554455777771222922422779322991111911991919333
61524,terminee,R,Y,9,9,1,77565545655687662334466537732137722637512722265331111139192881989999899888
61523,terminee,R,R,9,9,1,67674466456775555945447
61522,terminee,R,R,9,9,1,677656655557766773315735657366225222121222999999888844444
61521,terminee,R,R,9,9,1,6444446665262522537
61520,terminee,R,Y,9,9,1,365642665642553445233435534244535868897977
61519,terminee,R,R,9,9,1,7534466545536766445556477
61518,terminee,R,Y,9,9,1,34335566457845547443373573543477455397779911199196661116666992911222
61517,terminee,R,Y,9,9,1,5365665647457665577434533443
61516,terminee,R,R,9,9,1,56676466445775574545944656677757465119999194999121172122222212133
61515,terminee,R,Y,9,9,1,33546465554634787773646171777655644545511363
61513,terminee,R,R,9,9,1,5756554665463232343
61511,terminee,R,Y,9,9,1,46554654456654662325333243655332222239678877
61510,terminee,R,R,9,9,1,35565476456634463356651444355146451611171779388888912222188998933983222
61509,terminee,R,Y,9,9,1,454764665755866445564465842142588777
61508,terminee,R,Y,9,9,1,45354655564433487768
61507,terminee,R,R,9,9,1,7463652645566577795957965596766775219992313233333922117911113128882288888844444
61506,terminee,R,Y,9,9,1,653455464475366477895447477919957194773333
61505,terminee,R,Y,9,9,1,53445655557344443373773566674556764379994997397931111666111191298888
61504,terminee,R,R,9,9,1,5655565556678868668857777
61503,terminee,R,R,9,9,1,664565455447748
